mag|my_date|netto
468|2019-11-30|2700.19
468|2019-11-29|7350.84
468|2019-11-04|5802.79
468|2019-11-18|5276.59
468|2019-11-23|3122.11
468|2019-11-14|5924.16
468|2019-11-05|5213.04
468|2019-11-22|5847.8
468|2019-11-15|6044.59
468|2019-11-08|4721.49
468|2019-11-12|6401.11
468|2019-11-25|5554.55
468|2019-11-13|5366.42
468|2019-11-24|1239.42
468|2019-11-27|6238.47
468|2019-11-21|5835.25
468|2019-11-16|2766.29
468|2019-11-07|5318.2
468|2019-11-26|5169.4
468|2019-11-06|5893.47
468|2019-11-09|2716.98
468|2019-11-28|6184.09
468|2019-11-20|5141.74
468|2019-11-02|2388.86
468|2019-11-19|4718.69
468|2019-12-03|6392.18
468|2019-12-09|5457.34
468|2019-12-27|4119.51
468|2019-12-20|8574.61
468|2019-12-13|6446.64
468|2019-12-07|2853.04
468|2019-12-18|7329.35
468|2019-12-24|2111.79
468|2019-12-06|5949.17
468|2019-12-17|8491.44
468|2019-12-04|6528.66
468|2019-12-10|6624.35
468|2019-12-28|2974.3
468|2019-12-19|9169.11
468|2019-12-02|6596.22
468|2019-12-12|7034.53
468|2019-12-15|1580.13
468|2019-12-11|6305.6
468|2019-12-23|8873.03
468|2019-12-31|4449.65
468|2019-12-16|8162.19
468|2019-12-14|3964.35
468|2019-12-22|2788.16
468|2019-12-05|7066.12
468|2019-12-21|4922.27
468|2019-12-30|6310.73
468|2020-01-11|3169.91
468|2020-01-22|5243.62
468|2020-01-04|3222.47
468|2020-01-07|7015.58
468|2020-01-31|6200.71
468|2020-01-25|2435.67
468|2020-01-26|1373.24
468|2020-01-20|5775.56
468|2020-01-29|5534.71
468|2020-01-14|6311.65
468|2020-01-02|5617
468|2020-01-17|5700.12
468|2020-01-28|5886.57
468|2020-01-03|4868.96
468|2020-01-18|2676.26
468|2020-01-08|5950.85
468|2020-01-10|5941.51
468|2020-01-16|4909.88
468|2020-01-27|4915.02
468|2020-01-23|5115.09
468|2020-01-09|6091.74
468|2020-01-13|7036.11
468|2020-01-24|5380.75
468|2020-01-21|5216.85
468|2020-01-15|5450
468|2020-01-30|6460.83
468|2020-02-19|5562.8
468|2020-02-27|7109.65
468|2020-02-08|3074.13
468|2020-02-26|5774.77
468|2020-02-03|6313
468|2020-02-01|3251.72
468|2020-02-05|4916.6
468|2020-02-10|6161.31
468|2020-02-15|2918.48
468|2020-02-06|5928.52
468|2020-02-24|6178.51
468|2020-02-07|6874.06
468|2020-02-04|5526.25
468|2020-02-17|5197.69
468|2020-02-11|6052.18
468|2020-02-12|4900.64
468|2020-02-21|5670.95
468|2020-02-13|6576.86
468|2020-02-29|3616.48
468|2020-02-14|6538.25
468|2020-02-28|7528.31
468|2020-02-25|5731.77
468|2020-02-20|4690.53
468|2020-02-22|2995.52
468|2020-02-18|5365.54
468|2020-03-30|2918.36
468|2020-03-16|2670.41
468|2020-03-18|1578.32
468|2020-03-05|7786.84
468|2020-03-06|5989.27
468|2020-03-17|2785.92
