mag|my_date|netto
119|2019-11-02|1941.61
119|2019-11-05|3322.07
119|2019-11-21|2557.32
119|2019-11-15|3589.28
119|2019-11-30|2615.72
119|2019-11-07|2368.78
119|2019-11-16|2054.2
119|2019-11-28|3309.24
119|2019-11-26|3276.4
119|2019-11-25|3173.72
119|2019-11-23|2617.17
119|2019-11-08|3551.31
119|2019-11-22|3184.41
119|2019-11-27|3057.54
119|2019-11-14|2133.07
119|2019-11-18|2707.21
119|2019-11-29|3526.61
119|2019-11-12|2438.56
119|2019-11-19|2163.51
119|2019-11-06|3449.23
119|2019-11-13|3505.95
119|2019-11-04|2197.57
119|2019-11-09|2982.8
119|2019-11-20|2244.29
119|2019-12-13|4869.08
119|2019-12-28|2221.47
119|2019-12-03|2560.8
119|2019-12-04|3764.64
119|2019-12-17|5297.64
119|2019-12-24|4588.36
119|2019-12-14|2790.54
119|2019-12-20|5081.41
119|2019-12-07|2668.63
119|2019-12-31|2623.27
119|2019-12-22|2403.6
119|2019-12-16|4215.07
119|2019-12-18|4285.1
119|2019-12-23|10814.4
119|2019-12-06|4021.04
119|2019-12-27|3836.95
119|2019-12-21|6003.88
119|2019-12-10|3407.24
119|2019-12-02|2900.65
119|2019-12-12|3268.6
119|2019-12-09|2364.56
119|2019-12-30|5280.11
119|2019-12-05|4309.29
119|2019-12-11|3746.68
119|2019-12-19|5380.16
119|2020-01-24|2632.31
119|2020-01-22|2427.79
119|2020-01-04|2322.26
119|2020-01-14|2760.21
119|2020-01-08|3049.93
119|2020-01-02|3090.47
119|2020-01-29|2234.66
119|2020-01-16|2633.93
119|2020-01-15|2464.98
119|2020-01-18|2231.36
119|2020-01-17|2465.99
119|2020-01-23|3162.15
119|2020-01-25|2054
119|2020-01-11|3178.92
119|2020-01-28|2516.76
119|2020-01-20|2107.48
119|2020-01-07|3539.81
119|2020-01-21|2666.82
119|2020-01-13|2661.02
119|2020-01-10|3696.3
119|2020-01-27|2328.69
119|2020-01-31|3024.71
119|2020-01-09|2616.28
119|2020-01-30|3306.43
119|2020-01-03|3102.02
119|2020-02-19|2875.21
119|2020-02-10|2516.18
119|2020-02-26|2611.09
119|2020-02-29|2834.78
119|2020-02-03|2596.68
119|2020-02-28|4919.17
119|2020-02-27|3458.94
119|2020-02-01|2602.18
119|2020-02-05|2450.22
119|2020-02-25|3215.2
119|2020-02-12|3423.74
119|2020-02-06|2488.24
119|2020-02-20|2626.84
119|2020-02-22|1955.89
119|2020-02-18|3246.61
119|2020-02-04|2520.15
119|2020-02-11|2973.11
119|2020-02-15|2220.37
119|2020-02-08|2339.81
119|2020-02-07|3224.18
119|2020-02-13|4147.39
119|2020-02-17|2846.27
119|2020-02-21|3290.82
119|2020-02-24|2514.6
119|2020-02-14|3492.08
119|2020-03-13|3587.84
119|2020-03-05|2701.87
119|2020-03-21|1532.97
119|2020-03-16|1552.94
119|2020-03-30|1495.14
119|2020-03-04|3066.48
119|2020-03-18|1696.25
119|2020-03-09|2726.78
119|2020-03-27|2686.25
119|2020-03-06|3697.81
119|2020-03-24|2551.84
119|2020-03-20|2115.63
119|2020-03-19|1787.88
119|2020-03-31|2323.06
119|2020-03-07|3069.46
119|2020-03-23|2185.42
119|2020-03-26|2307.77
119|2020-03-14|2460.86
119|2020-03-03|3735.31
119|2020-03-11|3793.86
119|2020-03-28|818.5
119|2020-03-10|3436.52
119|2020-03-12|5073.36
119|2020-03-25|2437.59
119|2020-03-02|2971.13
119|2020-03-17|1711.46
119|2020-04-01|2185.66
119|2020-04-08|2685.18
119|2020-04-23|2110.72
119|2020-04-30|2701.04
119|2020-04-03|2219.88
119|2020-04-06|1943.14
119|2020-04-24|2325.06
119|2020-04-27|1883.6
119|2020-04-17|2239.69
119|2020-04-09|2452.71
119|2020-04-10|3075.63
119|2020-04-20|2607.55
119|2020-04-14|1527.05
119|2020-04-02|2219.82
119|2020-04-07|2312.64
119|2020-04-15|1634.47
119|2020-04-25|1678.78
119|2020-04-22|1437.98
119|2020-04-16|1508.97
119|2020-04-18|1128.88
119|2020-04-11|458.93
119|2020-04-29|1893.66
119|2020-04-04|705.54
119|2020-04-28|1843.93
119|2020-05-04|2528.52
119|2020-05-26|3415.31
119|2020-05-08|3308.61
119|2020-05-15|2586.98
119|2020-05-28|2666.53
119|2020-05-11|2919.43
119|2020-05-09|2192.69
119|2020-05-29|2521.19
119|2020-05-12|2673.3
