mag|my_date|netto
362|2019-11-18|3113.15
362|2019-11-29|3540.37
362|2019-11-21|3672.98
362|2019-11-04|2925.85
362|2019-11-28|3932.81
362|2019-11-07|3095.08
362|2019-11-22|4031.7
362|2019-11-13|3213.74
362|2019-11-08|3946.4
362|2019-11-25|4053.11
362|2019-11-09|2740.48
362|2019-11-26|2583.14
362|2019-11-14|3555.3
362|2019-11-30|2594.74
362|2019-11-05|2960.3
362|2019-11-02|1656.78
362|2019-11-12|3770.84
362|2019-11-19|4023.46
362|2019-11-27|3335.45
362|2019-11-15|3691.26
362|2019-11-20|2828.81
362|2019-11-06|2758.44
362|2019-11-16|1952.09
362|2019-11-23|2903.4
362|2019-12-10|4370.93
362|2019-12-09|3513.98
362|2019-12-19|4903.18
362|2019-12-20|5876.84
362|2019-12-06|4819.33
362|2019-12-30|3983.39
362|2019-12-11|3820.9
362|2019-12-23|6995.6
362|2019-12-16|3989.19
362|2019-12-13|4760.35
362|2019-12-02|3438.71
362|2019-12-04|4023.71
362|2019-12-28|1879.49
362|2019-12-12|5166.05
362|2019-12-27|3285.32
362|2019-12-31|2687.57
362|2019-12-05|4924.12
362|2019-12-03|3783.52
362|2019-12-21|4103.21
362|2019-12-14|2531.11
362|2019-12-18|4720.2
362|2019-12-17|4894.69
362|2019-12-24|3119.64
362|2019-12-07|2117.55
362|2020-01-15|3929.61
362|2020-01-13|3114.8
362|2020-01-08|3851.72
362|2020-01-21|3335.85
362|2020-01-11|2369.61
362|2020-01-24|3916.83
362|2020-01-10|4145.25
362|2020-01-18|2493.18
362|2020-01-23|2806
362|2020-01-30|3735.33
362|2020-01-04|2476.29
362|2020-01-31|3296.63
362|2020-01-20|3195.51
362|2020-01-27|2743.7
362|2020-01-07|4228.58
362|2020-01-17|3734.33
362|2020-01-14|2916.47
362|2020-01-16|4401.32
362|2020-01-29|3473.88
362|2020-01-03|3134.83
362|2020-01-09|4539.54
362|2020-01-25|2560.07
362|2020-01-02|2525.19
362|2020-01-22|3258.15
362|2020-01-28|3100.79
362|2020-02-29|2817.97
362|2020-02-26|3302.26
362|2020-02-08|2051.52
362|2020-02-11|2934.5
362|2020-02-15|2579.39
362|2020-02-01|2762.42
362|2020-02-06|2341.43
362|2020-02-12|3488.2
362|2020-02-25|3643.18
362|2020-02-18|3725.33
362|2020-02-14|4311.16
362|2020-02-22|2590.61
362|2020-02-05|3295.76
362|2020-02-13|4412.92
362|2020-02-07|3294.26
362|2020-02-27|3849.88
362|2020-02-04|2538.5
362|2020-02-21|3103.98
362|2020-02-24|3455.58
362|2020-02-19|3586.38
362|2020-02-10|2864.28
362|2020-02-17|3443.36
362|2020-02-28|4654.65
362|2020-02-03|2668.03
362|2020-02-20|4895.41
362|2020-03-23|2860.75
362|2020-03-03|4147.59
362|2020-03-18|3264.49
362|2020-03-13|5786.65
362|2020-03-12|6514.35
362|2020-03-02|4933.01
362|2020-03-07|3196.05
362|2020-03-25|2665.9
362|2020-03-21|2385.25
362|2020-03-05|4002.76
362|2020-03-20|3104.49
362|2020-03-04|4747.86
362|2020-03-17|3354.51
362|2020-03-30|2170.51
362|2020-03-28|2052.08
362|2020-03-11|6794.04
362|2020-03-24|3673.89
362|2020-03-09|4302.27
362|2020-03-26|3339.06
362|2020-03-16|4128.91
362|2020-03-19|3740.38
362|2020-03-31|3168.17
362|2020-03-10|4729.27
362|2020-03-27|3467.78
362|2020-03-14|4405.67
362|2020-03-06|3966.73
362|2020-04-14|3610.46
362|2020-04-29|4365.63
362|2020-04-25|2876.14
362|2020-04-23|3598.13
362|2020-04-18|2226.01
362|2020-04-16|3253.85
362|2020-04-27|2947.45
362|2020-04-10|6127.11
362|2020-04-15|3698.95
362|2020-04-01|3263
362|2020-04-09|4143.66
362|2020-04-22|3588.59
362|2020-04-30|5266.42
362|2020-04-20|3967.96
362|2020-04-24|3857.82
362|2020-04-06|4346.87
362|2020-04-04|2176.08
362|2020-04-11|2088.73
362|2020-04-02|2693.55
362|2020-04-08|4729.51
362|2020-04-28|2727.22
362|2020-04-07|3642
362|2020-04-03|3876.37
362|2020-04-21|3510.42
362|2020-04-17|4157.47
362|2020-05-30|1577.1
362|2020-05-06|2622.11
362|2020-05-15|2160.78
362|2020-05-14|3267.68
362|2020-05-25|2801.5
362|2020-05-28|3799.54
362|2020-05-18|4162.14
362|2020-05-08|4081.19
362|2020-05-07|4254.79
362|2020-05-21|3174.93
362|2020-05-11|2864.6
362|2020-05-23|3510.6
362|2020-05-02|2418.66
362|2020-05-13|3960.38
362|2020-05-12|3845.37
362|2020-05-19|2766.21
362|2020-05-16|1972.96
362|2020-05-26|3605.39
362|2020-05-29|3108.57
362|2020-05-27|2900.77
362|2020-05-22|3706.74
362|2020-05-09|2945.62
362|2020-05-20|2408.29
362|2020-05-05|3450.46
362|2020-05-04|4295.93
362|2020-06-01|3818.69
362|2020-06-10|3970.86
362|2020-06-05|2558.23
362|2020-06-25|2968.68
362|2020-06-08|4309.47
362|2020-06-15|3584.94
362|2020-06-16|3065.32
362|2020-06-23|3850.61
362|2020-06-12|3842.27
362|2020-06-26|2868.61
362|2020-06-09|2914.41
362|2020-06-18|4121.33
362|2020-06-27|2313.4
362|2020-06-13|2109.95
362|2020-06-19|3806.15
362|2020-06-04|3139.03
362|2020-06-03|2514.97
362|2020-06-17|3215
362|2020-06-29|2281.4
362|2020-06-22|3707.06
362|2020-06-20|3290.69
362|2020-06-06|1622.92
362|2020-06-24|2834.97
362|2020-06-02|2600.62
362|2020-06-30|3727.21
362|2020-07-06|3226.03
362|2020-07-31|3319.36
362|2020-07-10|3607.23
362|2020-07-21|3504.32
362|2020-07-18|2689.46
362|2020-07-28|3026.87
362|2020-07-29|3781.22
362|2020-07-14|3766.63
362|2020-07-17|3750.23
362|2020-07-22|3077.71
362|2020-07-24|3181
362|2020-07-09|2788.31
362|2020-07-25|2025.7
362|2020-07-23|2719.78
362|2020-07-03|3098.38
362|2020-07-16|2881.36
362|2020-07-27|3387.09
362|2020-07-07|3598.55
362|2020-07-30|3303.53
362|2020-07-01|3838.22
362|2020-07-11|2348.41
362|2020-07-20|3264.5
362|2020-07-04|2494.25
362|2020-07-13|3060.44
362|2020-07-02|3002.48
362|2020-07-08|2684.8
362|2020-07-15|2542.22
362|2020-08-19|2823.91
362|2020-08-29|2679.08
362|2020-08-08|2130.54
362|2020-08-13|3395.3
362|2020-08-05|3805.83
362|2020-08-04|3312.58
362|2020-08-22|1788.63
362|2020-08-17|3861.72
362|2020-08-11|3164.59
362|2020-08-25|3314.78
362|2020-08-01|2422.3
362|2020-08-20|2908.09
362|2020-08-26|3103.85
362|2020-08-12|3642.21
362|2020-08-18|3465.54
362|2020-08-03|3765.75
362|2020-08-06|3969.41
362|2020-08-28|3776.3
362|2020-08-24|3693.29
362|2020-08-14|4503.87
362|2020-08-07|3294.68
362|2020-08-21|3076.99
362|2020-08-31|2719.78
362|2020-08-10|3538.85
362|2020-08-27|3149.98
362|2020-09-02|3283.79
362|2020-09-05|1851.88
362|2020-09-30|2165.05
362|2020-09-23|3706.81
362|2020-09-24|3245.3
362|2020-09-07|3267.31
362|2020-09-01|3130.22
362|2020-09-17|2841.65
362|2020-09-10|4318.5
362|2020-09-25|3114.95
362|2020-09-14|3664.51
362|2020-09-21|3126.91
362|2020-09-11|2664.86
362|2020-09-16|3036.8
362|2020-09-29|3334.57
362|2020-09-28|2723.55
362|2020-09-09|3400.79
362|2020-09-18|3422.82
362|2020-09-15|3363.98
362|2020-09-22|2641.13
362|2020-09-03|3332.23
362|2020-09-04|3091.79
362|2020-09-26|2220.46
362|2020-09-08|3206.69
362|2020-09-12|2024.01
362|2020-09-19|1681.17
362|2020-10-15|3998.42
362|2020-10-28|2986.14
362|2020-10-01|3037.73
362|2020-10-03|1892.85
362|2020-10-13|2705.47
362|2020-10-08|3494.82
362|2020-10-21|3092.95
362|2020-10-14|3419.82
362|2020-10-12|2362.18
362|2020-10-24|1866.7
362|2020-10-22|3662.12
362|2020-10-07|3346.12
362|2020-10-23|2807.31
362|2020-10-02|3920.82
362|2020-10-26|3701.62
362|2020-10-29|3049.62
362|2020-10-27|2313.36
362|2020-10-16|3355.17
362|2020-10-05|3851.53
362|2020-10-06|3484.69
362|2020-10-17|1864.67
362|2020-10-09|5944.15
362|2020-10-20|3495.94
362|2020-10-30|3945.14
362|2020-10-10|2808.71
362|2020-10-19|3120.64
362|2020-10-31|2625.76
362|2020-11-04|2463.38
362|2020-11-20|4552.69
362|2020-11-26|4225.73
362|2020-11-17|3247.93
362|2020-11-02|2134.3
362|2020-11-27|3416.93
362|2020-11-07|3516.59
362|2020-11-13|5064.51
362|2020-11-16|4475.65
362|2020-11-25|3994.11
362|2020-11-03|2423.43
362|2020-11-28|2761.96
362|2020-11-14|2623.89
362|2020-11-05|4048.29
362|2020-11-19|4753.17
362|2020-11-30|2949.54
362|2020-11-23|3086.43
362|2020-11-12|4363.55
362|2020-11-06|3894.56
362|2020-11-18|3653.95
362|2020-11-24|4389.65
362|2020-11-09|3308.82
362|2020-11-10|3142.75
362|2020-11-21|3788.55
