mag|my_date|netto
155|2019-11-15|3490.88
155|2019-11-23|2652.39
155|2019-11-04|2771.78
155|2019-11-05|4265.43
155|2019-11-27|4043.38
155|2019-11-22|3292.58
155|2019-11-18|3308.28
155|2019-11-12|4055.99
155|2019-11-14|3623.75
155|2019-11-08|4818.36
155|2019-11-29|5452.69
155|2019-11-26|3616.56
155|2019-11-07|4126.91
155|2019-11-28|4330.8
155|2019-11-16|2600.9
155|2019-11-09|3781.15
155|2019-11-06|3493.12
155|2019-11-21|2939.97
155|2019-11-20|2977.77
155|2019-11-19|2702.34
155|2019-11-30|3684.79
155|2019-11-13|3147.49
155|2019-11-25|3937.29
155|2019-11-02|2984.71
155|2019-12-17|7112.09
155|2019-12-10|4955.64
155|2019-12-28|2969.26
155|2019-12-20|9402.86
155|2019-12-16|6377.9
155|2019-12-07|3781.32
155|2019-12-12|4479.71
155|2019-12-13|5581.77
155|2019-12-03|4924.72
155|2019-12-02|3633.59
155|2019-12-24|4707.4
155|2019-12-31|2816.39
155|2019-12-06|7128.42
155|2019-12-11|5069.17
155|2019-12-04|3834.42
155|2019-12-30|4947.14
155|2019-12-18|7003.25
155|2019-12-27|3729.59
155|2019-12-22|4276.44
155|2019-12-05|8361.81
155|2019-12-19|7082.2
155|2019-12-23|11569.8
155|2019-12-09|4731.92
155|2019-12-21|8339.5
155|2019-12-14|4894.38
155|2020-01-09|3633.63
155|2020-01-21|3420.64
155|2020-01-02|3760.69
155|2020-01-11|3327.76
155|2020-01-07|3385.24
155|2020-01-14|4054.67
155|2020-01-03|3249.51
155|2020-01-25|3323.36
155|2020-01-29|2247.62
155|2020-01-22|3043.23
155|2020-01-10|4559.52
155|2020-01-28|2980.32
155|2020-01-17|3394.9
155|2020-01-08|3430.6
155|2020-01-18|3520.03
155|2020-01-04|2005.79
155|2020-01-24|4147.04
155|2020-01-13|3879.05
155|2020-01-16|3315.84
155|2020-01-20|3427.1
155|2020-01-27|2990.56
155|2020-01-31|4201.49
155|2020-01-30|4031.08
155|2020-01-15|3774.54
155|2020-01-23|3544.35
155|2020-02-22|3129.72
155|2020-02-01|4628.1
155|2020-02-27|4058.63
155|2020-02-18|3171.18
155|2020-02-29|4407.29
155|2020-02-20|4129.96
155|2020-02-26|3572.07
155|2020-02-19|3755.66
155|2020-02-04|4302.8
155|2020-02-06|4017.43
155|2020-02-12|4091.85
155|2020-02-08|3010.31
155|2020-02-10|3487.5
155|2020-02-05|3825.61
155|2020-02-13|3691.26
155|2020-02-17|4244.96
155|2020-02-11|4071.85
155|2020-02-28|5034.24
155|2020-02-21|3502.23
155|2020-02-24|3897.84
155|2020-02-14|4424.69
155|2020-02-15|3592.7
155|2020-02-03|4079.26
155|2020-02-25|3322.35
155|2020-02-07|4146.54
155|2020-03-31|2276.43
155|2020-03-18|1629.63
155|2020-03-23|1632.89
155|2020-03-30|2176.64
155|2020-03-13|4973.51
155|2020-03-24|2320.52
155|2020-03-07|4061.59
155|2020-03-25|2453.59
155|2020-03-04|5244.77
155|2020-03-05|4882.68
155|2020-03-21|1595.66
155|2020-03-14|1848.52
155|2020-03-03|4301.93
155|2020-03-20|2067.48
155|2020-03-12|6054.68
155|2020-03-16|2249.97
155|2020-03-09|4574.28
155|2020-03-28|1956.85
155|2020-03-11|5882.92
155|2020-03-17|1588.13
155|2020-03-02|4599.23
155|2020-03-26|2897.06
155|2020-03-27|2422.18
155|2020-03-06|5006.81
155|2020-03-19|2208.79
155|2020-03-10|5468.81
155|2020-04-15|3260.57
155|2020-04-22|2060.56
155|2020-04-02|2320.56
155|2020-04-28|2535.53
155|2020-04-20|3152.67
155|2020-04-24|3087.67
155|2020-04-10|3741.4
155|2020-04-16|2695.32
155|2020-04-23|3340.18
155|2020-04-27|2728.18
155|2020-04-01|1927.58
155|2020-04-09|3550.13
155|2020-04-03|2407.48
155|2020-04-25|2184.31
