mag|my_date|netto
478|2019-11-27|5165.92
478|2019-11-08|5946.25
478|2019-11-09|5009.35
478|2019-11-20|3860.7
478|2019-11-24|1215.26
478|2019-11-23|3190.65
478|2019-11-19|4332.45
478|2019-11-04|5746.05
478|2019-11-30|4078.64
478|2019-11-26|5103.17
478|2019-11-16|3379.12
478|2019-11-05|5093.77
478|2019-11-13|5467.86
478|2019-11-12|6808.17
478|2019-11-15|4835.99
478|2019-11-02|3574.47
478|2019-11-18|5010.12
478|2019-11-25|6044.46
478|2019-11-28|4970.57
478|2019-11-21|6146.68
478|2019-11-06|3958.47
478|2019-11-29|6201.58
478|2019-11-07|4685.21
478|2019-11-14|5130.79
478|2019-11-22|5357.39
478|2019-12-29|1169.5
478|2019-12-15|1719.61
478|2019-12-14|3230.81
478|2019-12-23|10398.74
478|2019-12-07|4977.38
478|2019-12-03|4705.58
478|2019-12-18|6737.2
478|2019-12-21|6189.9
478|2019-12-05|8402.04
478|2019-12-22|2225.73
478|2019-12-28|3324.34
478|2019-12-06|7751.77
478|2019-12-11|6129.98
478|2019-12-24|3317.96
478|2019-12-13|6448.11
478|2019-12-04|5246.12
478|2019-12-12|5234.36
478|2019-12-30|8571.23
478|2019-12-09|4432.8
478|2019-12-20|8105.26
478|2019-12-31|1904.93
478|2019-12-16|6472.69
478|2019-12-19|5993.97
478|2019-12-17|6401.37
478|2019-12-10|5505.29
478|2019-12-27|5927.71
478|2019-12-02|5673.86
478|2020-01-09|3663.85
478|2020-01-25|2779.95
478|2020-01-16|5801.77
478|2020-01-18|2755.82
478|2020-01-23|4192
478|2020-01-07|5957.44
478|2020-01-17|5053.8
478|2020-01-02|6103.44
478|2020-01-30|4757.05
478|2020-01-15|3913.2
478|2020-01-04|2542.15
478|2020-01-22|5236.08
478|2020-01-28|4146.46
478|2020-01-31|5785.34
478|2020-01-20|4894.35
478|2020-01-10|6768.46
478|2020-01-24|5387.43
478|2020-01-21|5119.24
478|2020-01-27|4682.84
478|2020-01-11|4679.08
478|2020-01-29|3763.24
478|2020-01-14|5525.35
478|2020-01-13|6130.67
478|2020-01-08|5630.03
478|2020-01-26|942.35
478|2020-01-03|5724.17
478|2020-02-20|4564.08
478|2020-02-13|6884.36
478|2020-02-21|5372.42
478|2020-02-28|6582.52
478|2020-02-12|5341.46
478|2020-02-15|4148.63
478|2020-02-11|5653.07
478|2020-02-19|4735.75
478|2020-02-03|5111.45
478|2020-02-26|4066.38
478|2020-02-10|5290.97
478|2020-02-08|3616.06
478|2020-02-17|4360.41
478|2020-02-24|4927.63
478|2020-02-06|4199.16
478|2020-02-22|3000
478|2020-02-25|5422.59
478|2020-02-29|4575.05
478|2020-02-14|6483.67
478|2020-02-18|4656.72
478|2020-02-27|5534.36
