mag|my_date|netto
453|2019-11-16|8253.8
453|2019-11-24|4163.96
453|2019-11-28|9236.44
453|2019-11-22|8957.06
453|2019-11-06|7308.93
453|2019-11-04|6818.48
453|2019-11-13|9360.07
453|2019-11-19|9025.88
453|2019-11-07|8158.33
453|2019-11-25|6672.5
453|2019-11-21|8215.65
453|2019-11-20|7350.44
453|2019-11-09|11159.69
453|2019-11-27|8028.21
453|2019-11-08|8522.25
453|2019-11-05|7570.05
453|2019-11-23|7986.38
453|2019-11-15|9066.14
453|2019-11-30|13375.69
453|2019-11-02|8680.43
453|2019-11-12|8915.72
453|2019-11-26|6432.28
453|2019-11-29|12708.93
453|2019-11-14|8724.9
453|2019-11-18|6845.44
453|2019-12-22|9205.5
453|2019-12-09|8541.83
453|2019-12-19|13190.12
453|2019-12-23|20415.25
453|2019-12-14|9819.4
453|2019-12-03|10355.86
453|2019-12-15|7600.6
453|2019-12-12|10979.7
453|2019-12-27|8210.31
453|2019-12-05|14455.46
453|2019-12-30|9935.68
453|2019-12-29|3929.97
453|2019-12-18|12920.82
453|2019-12-11|10272.39
453|2019-12-02|10171.21
453|2019-12-24|8510.43
453|2019-12-13|11055.54
453|2019-12-04|11685.48
453|2019-12-21|15214.52
453|2019-12-20|18269.44
453|2019-12-07|10477.15
453|2019-12-28|6810.92
453|2019-12-17|10545.98
453|2019-12-31|5757.07
453|2019-12-10|9012.62
453|2019-12-16|10957.31
453|2019-12-06|14630.85
453|2020-01-27|6126.95
453|2020-01-20|6675.67
453|2020-01-09|5647.57
453|2020-01-25|6361.37
453|2020-01-18|6710.73
453|2020-01-23|5858.34
453|2020-01-02|6792.55
453|2020-01-11|7513.05
453|2020-01-13|7203.15
453|2020-01-30|6483.2
453|2020-01-24|6799.75
453|2020-01-03|6795.11
453|2020-01-15|6280.25
453|2020-01-26|2717.65
453|2020-01-17|7353.04
453|2020-01-28|5112.76
453|2020-01-31|7780.07
453|2020-01-16|6474.66
453|2020-01-21|6238.8
453|2020-01-10|7346.13
453|2020-01-14|5653.87
453|2020-01-29|6133.01
453|2020-01-07|7395.61
453|2020-01-22|5314.81
453|2020-01-04|6891.95
453|2020-01-08|5967.43
453|2020-02-13|10035.42
453|2020-02-04|5179.7
453|2020-02-24|5523.5
453|2020-02-29|9651.16
453|2020-02-08|7250.43
453|2020-02-11|7481.54
453|2020-02-01|9256.26
453|2020-02-14|8654.86
453|2020-02-03|6293.24
453|2020-02-10|6241.32
453|2020-02-06|5938.61
453|2020-02-26|5936.05
453|2020-02-21|5417.65
453|2020-02-12|7713.7
453|2020-02-28|9089.7
453|2020-02-22|6570.53
453|2020-02-17|6215.22
453|2020-02-25|5445.05
453|2020-02-27|7339.07
453|2020-02-07|7056.07
453|2020-02-05|5831.21
453|2020-02-18|6705.8
453|2020-02-15|7401.62
453|2020-02-20|5954.83
453|2020-02-19|6677.2
453|2020-03-17|2535.99
453|2020-03-02|7008.07
453|2020-03-16|2628.97
453|2020-03-20|2830.76
453|2020-03-09|7437.87
453|2020-03-14|4620.75
453|2020-03-28|3173.68
453|2020-03-21|3181.42
453|2020-03-24|3610.95
453|2020-03-10|8030.77
453|2020-03-27|4588.2
453|2020-03-23|3250.25
453|2020-03-03|7426.92
453|2020-03-25|3728.45
453|2020-03-07|9274.43
453|2020-03-19|2634.94
453|2020-03-04|6731.46
453|2020-03-12|8443.56
453|2020-03-06|7386.06
453|2020-03-18|3231.28
453|2020-03-30|3593.52
453|2020-03-11|10443.32
453|2020-03-26|2531.89
453|2020-03-31|4310.35
453|2020-03-13|8858.85
453|2020-03-05|7685.35
453|2020-04-04|2575.97
453|2020-04-17|3316.32
453|2020-04-28|3666.77
