mag|my_date|netto
198|2019-11-04|5635.34
198|2019-11-27|6919.81
198|2019-11-23|6019.12
198|2019-11-14|5747.68
198|2019-11-29|8741.9
198|2019-11-28|6792.88
198|2019-11-22|8558.77
198|2019-11-13|5160.69
198|2019-11-30|6942.4
198|2019-11-26|6088.69
198|2019-11-15|7063.29
198|2019-11-25|6481.8
198|2019-11-18|6204.73
198|2019-11-05|5357.31
198|2019-11-09|5029.17
198|2019-11-20|4625.43
198|2019-11-16|5523.16
198|2019-11-06|5356.92
198|2019-11-07|6005.09
198|2019-11-02|4505.24
198|2019-11-08|9191.17
198|2019-11-19|5380.39
198|2019-11-12|5562.29
198|2019-11-21|6858.73
198|2019-12-13|10762.16
198|2019-12-16|12240.58
198|2019-12-06|8381.46
198|2019-12-12|9593.51
198|2019-12-03|6424.36
198|2019-12-20|16028.6
198|2019-12-28|6081.56
198|2019-12-10|9425.68
198|2019-12-21|9389.53
198|2019-12-30|10682.25
198|2019-12-19|13677.83
198|2019-12-24|7840.6
198|2019-12-17|12848.67
198|2019-12-27|8484.74
198|2019-12-02|6423.55
198|2019-12-09|7798.49
198|2019-12-31|3410.34
198|2019-12-14|7663.96
198|2019-12-04|6774.33
198|2019-12-15|4984.36
198|2019-12-22|10055.94
198|2019-12-11|7916.29
198|2019-12-05|7774.72
198|2019-12-23|22513.15
198|2019-12-07|6092.34
198|2019-12-18|10546.78
198|2020-01-03|5717.07
198|2020-01-08|5877.83
198|2020-01-28|4262.05
198|2020-01-17|6539.11
198|2020-01-29|5072.64
198|2020-01-27|6954.88
198|2020-01-09|6476.31
198|2020-01-07|4970.83
198|2020-01-22|4460.76
198|2020-01-14|5985.41
198|2020-01-15|5701.96
198|2020-01-30|5034.84
198|2020-01-18|4600.57
198|2020-01-20|5491.33
198|2020-01-04|3803.74
198|2020-01-21|5370.97
198|2020-01-16|7377.82
198|2020-01-31|6487.68
198|2020-01-13|6140.64
198|2020-01-24|6523.88
198|2020-01-10|8033.78
198|2020-01-25|3755.44
198|2020-01-11|5664.06
198|2020-01-23|5582.57
198|2020-01-02|4474.78
198|2020-02-22|4801.98
198|2020-02-08|4832.8
198|2020-02-14|6603.56
198|2020-02-21|6470.04
198|2020-02-18|4864.54
198|2020-02-15|4798.86
198|2020-02-12|5734.54
198|2020-02-24|4089.58
198|2020-02-29|4813.8
198|2020-02-04|5293.31
198|2020-02-19|5106.07
198|2020-02-06|5309.33
198|2020-02-25|3651.45
198|2020-02-26|3967.99
198|2020-02-13|8392.09
198|2020-02-28|8341.1
198|2020-02-17|4711.66
198|2020-02-10|5461.31
198|2020-02-27|6447.46
198|2020-02-01|5024.88
198|2020-02-20|4455.77
198|2020-02-07|5458.93
198|2020-02-05|5904.91
198|2020-02-11|7591.89
198|2020-02-03|5520.48
198|2020-03-11|6174.68
198|2020-03-04|6707.61
198|2020-03-28|1679.51
198|2020-03-19|3154.22
198|2020-03-18|2838.42
198|2020-03-30|3400.7
198|2020-03-17|3009.61
198|2020-03-07|4254.33
198|2020-03-14|4276.34
198|2020-03-09|5484.62
198|2020-03-24|3563.58
198|2020-03-12|8246.89
198|2020-03-21|1894.5
198|2020-03-10|6944.93
198|2020-03-25|2299.25
198|2020-03-13|8400.08
198|2020-03-02|6143.39
198|2020-03-26|2367.28
198|2020-03-03|4535.68
198|2020-03-06|5578.09
198|2020-03-23|3749.12
198|2020-03-20|3897.24
198|2020-03-27|3535.16
198|2020-03-05|6405.69
198|2020-03-31|4244.02
198|2020-03-16|3401.22
198|2020-04-11|1881.42
198|2020-04-29|4824.34
198|2020-04-24|4849.27
198|2020-04-18|1855.94
198|2020-04-16|3124.02
198|2020-04-22|4252.8
198|2020-04-15|3522.6
198|2020-04-20|5109.01
198|2020-04-02|3430.7
198|2020-04-06|3697.03
198|2020-04-21|4207.87
198|2020-04-14|4031.76
198|2020-04-09|4675.49
198|2020-04-30|5471.5
198|2020-04-23|4625.12
198|2020-04-01|3623.64
198|2020-04-25|2439.82
198|2020-04-03|4391.09
198|2020-04-08|5230.75
198|2020-04-28|3935.61
198|2020-04-04|1467.68
198|2020-04-17|3966.71
198|2020-04-27|4648.59
198|2020-04-07|3435.83
198|2020-04-10|4873.14
198|2020-05-18|4556.23
198|2020-05-16|3236.76
198|2020-05-07|5272.75
198|2020-05-27|4422.12
198|2020-05-08|5117.25
198|2020-05-05|4762.71
198|2020-05-11|5143.51
198|2020-05-28|4078.1
198|2020-05-25|4879.53
198|2020-05-04|4862.53
198|2020-05-21|4957.18
198|2020-05-30|3905.01
198|2020-05-14|5376.27
198|2020-05-22|5321.51
198|2020-05-26|5443.79
198|2020-05-02|2757.41
198|2020-05-19|4688.03
198|2020-05-23|3251.36
198|2020-05-06|4231.55
198|2020-05-09|3722.25
198|2020-05-15|6615.47
198|2020-05-20|5256.01
198|2020-05-13|5421.17
198|2020-05-12|4363.95
198|2020-05-29|5869.62
198|2020-06-03|4977.63
198|2020-06-29|5499.45
198|2020-06-18|6238.27
198|2020-06-23|6094.3
198|2020-06-12|8927.32
198|2020-06-22|6562.58
198|2020-06-27|4036.1
198|2020-06-01|3659.87
198|2020-06-26|6943.5
198|2020-06-15|7385.33
198|2020-06-09|6223.21
198|2020-06-17|4128.93
198|2020-06-20|3946.88
198|2020-06-05|4703.55
198|2020-06-10|6809.83
198|2020-06-04|4810.95
198|2020-06-25|5636.61
198|2020-06-30|7298.51
198|2020-06-19|6822.38
198|2020-06-16|6515.22
198|2020-06-13|3265.83
198|2020-06-02|4213.06
198|2020-06-24|5674.04
198|2020-06-06|4017.78
198|2020-06-08|5337.59
198|2020-07-28|5067.84
198|2020-07-14|6771.32
198|2020-07-25|3744.03
198|2020-07-03|6290.51
198|2020-07-04|3082.21
198|2020-07-15|5650.96
198|2020-07-16|6037.76
198|2020-07-21|5829.12
198|2020-07-06|6705.04
198|2020-07-10|7497.29
198|2020-07-18|4216.76
198|2020-07-24|6623.41
198|2020-07-23|5424.16
198|2020-07-09|5338.35
198|2020-07-07|5822.81
198|2020-07-01|7053.35
198|2020-07-08|4654.41
198|2020-07-11|3578.49
198|2020-07-31|6239.68
198|2020-07-22|5420.74
198|2020-07-20|5465.09
198|2020-07-02|5316.12
198|2020-07-30|5367.05
198|2020-07-29|6508.68
198|2020-07-13|4898.88
198|2020-07-27|6549.2
198|2020-07-17|6989.88
198|2020-08-25|6458.89
198|2020-08-19|7061.19
198|2020-08-08|3808.9
198|2020-08-14|7314.66
198|2020-08-04|7139.3
198|2020-08-29|3995.62
198|2020-08-22|3094.06
198|2020-08-05|6657.64
198|2020-08-27|5907.79
198|2020-08-01|3779.02
198|2020-08-12|5903.89
198|2020-08-03|5928.07
198|2020-08-26|4266.28
198|2020-08-28|5854.65
198|2020-08-17|7346.06
198|2020-08-18|6707.16
198|2020-08-07|5750.08
198|2020-08-24|4671.38
198|2020-08-13|7680.61
198|2020-08-21|6044
198|2020-08-06|7004.7
198|2020-08-31|6343.92
198|2020-08-11|6424.01
198|2020-08-20|5253.25
198|2020-08-10|7216.81
198|2020-09-01|6960.32
198|2020-09-09|4755.3
198|2020-09-30|4954.79
198|2020-09-24|4905.54
198|2020-09-15|5889.66
198|2020-09-03|4435.59
198|2020-09-26|2759.9
198|2020-09-23|4352.77
198|2020-09-05|2953.8
198|2020-09-14|5797.76
198|2020-09-02|4968.12
198|2020-09-19|3481.12
198|2020-09-10|6429.26
198|2020-09-17|6581.03
198|2020-09-21|5910.08
198|2020-09-16|4652.99
198|2020-09-22|4807.14
198|2020-09-28|4627.92
198|2020-09-11|5828.96
198|2020-09-07|6652.06
198|2020-09-18|6797.34
198|2020-09-08|4275.28
198|2020-09-25|3856.93
198|2020-09-29|6251.18
198|2020-09-12|4024.3
198|2020-09-04|4944.58
198|2020-10-28|3968.69
198|2020-10-08|5005.25
198|2020-10-21|2776.81
198|2020-10-15|3659.45
198|2020-10-23|3915.93
198|2020-10-12|7048.53
198|2020-10-19|4641.43
198|2020-10-31|3699.84
198|2020-10-05|3871.43
198|2020-10-20|3935.55
198|2020-10-27|4318.31
198|2020-10-26|3647.03
198|2020-10-30|3728.61
198|2020-10-03|3293.48
198|2020-10-17|2989.16
198|2020-10-06|4698.32
198|2020-10-29|3708.19
198|2020-10-01|4267.36
198|2020-10-14|4108.06
198|2020-10-16|5160.94
198|2020-10-09|7660.07
198|2020-10-10|4993.19
198|2020-10-02|5015.8
198|2020-10-24|2581.42
198|2020-10-13|4778.89
198|2020-10-07|4798.25
198|2020-10-22|4067.62
198|2020-11-27|6028.12
198|2020-11-21|2153.81
198|2020-11-05|5642.61
198|2020-11-04|5320.22
198|2020-11-24|3941.14
198|2020-11-12|5148.55
198|2020-11-06|5387.05
198|2020-11-23|4862.14
198|2020-11-19|3428.91
198|2020-11-02|3299.35
198|2020-11-14|3638.16
198|2020-11-18|4169.11
198|2020-11-30|4481.73
198|2020-11-07|3270.34
198|2020-11-20|4654.61
198|2020-11-13|5317.03
198|2020-11-16|4427.51
198|2020-11-26|4343.68
198|2020-11-03|3512.27
198|2020-11-09|4404.74
198|2020-11-28|3456.46
198|2020-11-10|7057.42
198|2020-11-17|3995.87
198|2020-11-25|3859.04
