mag|my_date|netto
135|2019-11-09|3509.6
135|2019-11-07|4905.48
135|2019-11-28|5170.06
135|2019-11-21|4050.08
135|2019-11-27|4965.82
135|2019-11-18|3259.43
135|2019-11-23|4176.62
135|2019-11-13|3611.38
135|2019-11-08|6121.69
135|2019-11-29|5079.55
135|2019-11-16|3069.12
135|2019-11-19|3122.99
135|2019-11-14|4254.09
135|2019-11-26|5039.04
135|2019-11-06|4106.73
135|2019-11-12|5611.18
135|2019-11-02|3640.78
135|2019-11-22|5946.23
135|2019-11-05|4062.56
135|2019-11-25|3796.15
135|2019-11-04|4205.45
135|2019-11-20|2586.66
135|2019-11-30|3840.38
135|2019-11-15|4328.28
135|2019-12-16|7620.52
135|2019-12-15|2499.53
135|2019-12-06|6155.03
135|2019-12-05|8537.04
135|2019-12-22|5635
135|2019-12-31|3196.49
135|2019-12-12|4917.83
135|2019-12-02|3628.24
135|2019-12-19|7735.95
135|2019-12-24|8396.17
135|2019-12-18|8039.87
135|2019-12-09|6152.95
135|2019-12-20|9661.3
135|2019-12-11|5382.62
135|2019-12-23|12707.56
135|2019-12-30|6107.06
135|2019-12-28|2686.69
135|2019-12-27|4430.1
135|2019-12-21|8158.68
135|2019-12-13|5851.58
135|2019-12-03|4638.55
135|2019-12-14|4641.06
135|2019-12-17|9184.73
135|2019-12-07|3854.36
135|2019-12-04|3802.01
135|2019-12-10|5590.55
135|2020-01-24|4349.93
135|2020-01-02|3762.01
135|2020-01-07|3971.83
135|2020-01-04|2323.42
135|2020-01-31|3917.9
135|2020-01-29|2689.99
135|2020-01-21|2855.35
135|2020-01-27|2811.12
135|2020-01-13|3910.67
135|2020-01-16|3455.3
135|2020-01-18|2930.6
135|2020-01-17|3216.94
135|2020-01-15|3532.36
135|2020-01-25|2743.48
135|2020-01-23|2850.52
135|2020-01-03|3596.19
135|2020-01-20|3621.5
135|2020-01-28|2829.34
135|2020-01-14|4176.27
135|2020-01-22|3400.29
135|2020-01-11|2797.19
135|2020-01-08|2889.78
135|2020-01-10|4824.55
135|2020-01-09|3332.72
135|2020-01-30|2855.41
135|2020-02-21|3860.88
135|2020-02-08|2806.28
135|2020-02-13|5566.3
135|2020-02-26|2703.58
135|2020-02-25|2699.79
135|2020-02-07|4341.15
135|2020-02-05|3459.94
135|2020-02-18|3153.53
135|2020-02-11|3851.94
135|2020-02-29|3482.51
135|2020-02-27|4301.86
135|2020-02-15|3209.24
135|2020-02-03|4083.08
135|2020-02-01|3802.25
135|2020-02-12|4741.17
135|2020-02-14|4294.84
135|2020-02-22|2254.22
135|2020-02-06|3284.44
135|2020-02-04|3824.19
135|2020-02-10|4283.35
135|2020-02-17|3242.72
135|2020-02-20|3742.16
135|2020-02-19|3221.08
135|2020-02-28|5468.23
135|2020-02-24|3706.53
135|2020-03-25|1957.63
135|2020-03-24|2945.31
135|2020-03-03|4231.38
135|2020-03-31|2312.48
135|2020-03-11|5549.33
135|2020-03-28|963.93
135|2020-03-13|5746.65
135|2020-03-18|1909.28
135|2020-03-19|3145.65
135|2020-03-30|3096.29
135|2020-03-16|3654.74
135|2020-03-07|4751.26
135|2020-03-10|5631.35
135|2020-03-14|2665.61
135|2020-03-20|2286.97
135|2020-03-27|2730.62
135|2020-03-09|4551.5
135|2020-03-26|2170.18
135|2020-03-17|1934.38
135|2020-03-23|2686.32
135|2020-03-12|5519.62
135|2020-03-02|4137.18
135|2020-03-05|4075.68
135|2020-03-21|958.71
135|2020-03-06|4371.56
135|2020-03-04|4140.77
135|2020-04-01|2021.85
135|2020-04-23|2191.9
135|2020-04-17|2503.17
135|2020-04-14|2927.57
135|2020-04-25|1423.99
135|2020-04-15|3845.7
135|2020-04-04|1099.24
135|2020-04-29|2505.11
135|2020-04-21|2464.19
135|2020-04-16|2107.71
135|2020-04-08|2912.71
135|2020-04-18|2356.93
135|2020-04-05|421.54
135|2020-04-11|1343.19
135|2020-04-22|2081.01
135|2020-04-24|4118.79
135|2020-04-06|3032.45
135|2020-04-07|2544.37
135|2020-04-30|2550.53
135|2020-04-03|2372.9
135|2020-04-02|3361.64
135|2020-04-28|2300.16
135|2020-04-10|3866.86
135|2020-04-09|3693.4
135|2020-04-27|3193.19
135|2020-04-20|3719.72
135|2020-05-15|3653.9
135|2020-05-06|2658.62
135|2020-05-11|3088.09
135|2020-05-28|2537.81
135|2020-05-07|2944.04
135|2020-05-02|1694.22
135|2020-05-04|3308.82
135|2020-05-14|3213.84
135|2020-05-26|3466.64
135|2020-05-16|1736.37
135|2020-05-20|2666.7
135|2020-05-13|2855.76
135|2020-05-21|2448.87
135|2020-05-27|2712.72
135|2020-05-25|3889.48
135|2020-05-29|3753.28
135|2020-05-12|2991.98
135|2020-05-19|2469.81
135|2020-05-08|4047.99
135|2020-05-18|2159
135|2020-05-09|2919.34
135|2020-05-23|1772.41
135|2020-05-22|2928.57
135|2020-05-05|2859.89
135|2020-05-30|1950.48
135|2020-06-30|3883.06
135|2020-06-19|4232.97
135|2020-06-17|3295.68
135|2020-06-24|3670.29
135|2020-06-12|5621.82
135|2020-06-22|5001.11
135|2020-06-25|3229.84
135|2020-06-16|3930.68
135|2020-06-03|2939.79
135|2020-06-18|3402.32
135|2020-06-09|3807.39
135|2020-06-29|3917.85
135|2020-06-13|3677.98
135|2020-06-26|4383.15
135|2020-06-04|3306.27
135|2020-06-20|2523.18
135|2020-06-10|4343.62
135|2020-06-15|4452.23
135|2020-06-05|3409.7
135|2020-06-27|4090.74
135|2020-06-08|4143.4
135|2020-06-06|3296.45
135|2020-06-01|3037.97
135|2020-06-23|5040.47
135|2020-06-02|2869.04
135|2020-07-06|3347.51
135|2020-07-23|3564.12
135|2020-07-14|3953
135|2020-07-13|3957.3
135|2020-07-24|5922.64
135|2020-07-15|4011.85
135|2020-07-11|3563.33
135|2020-07-07|3468.97
135|2020-07-17|4094.66
135|2020-07-20|2824.42
135|2020-07-08|3746.73
135|2020-07-10|3981.27
135|2020-07-27|3368.45
135|2020-07-09|4206.45
135|2020-07-02|3424.63
135|2020-07-03|3360.86
135|2020-07-01|3944.54
135|2020-07-30|3489.36
135|2020-07-21|3819.67
135|2020-07-16|3391.41
135|2020-07-22|3799.76
135|2020-07-04|2554.16
135|2020-07-25|2490.9
135|2020-07-29|3480.78
135|2020-07-31|3949.22
135|2020-07-28|3742.07
135|2020-07-18|2480.04
135|2020-08-22|2135.77
135|2020-08-18|3452.31
135|2020-08-28|4862.33
135|2020-08-12|3952.88
135|2020-08-05|4396.66
135|2020-08-03|4068.9
135|2020-08-07|4316.27
135|2020-08-25|4446.25
135|2020-08-13|3808.19
135|2020-08-11|3451.6
135|2020-08-27|4582.46
135|2020-08-06|3864.57
135|2020-08-21|4713.82
135|2020-08-19|3691.13
135|2020-08-31|3278.63
135|2020-08-20|3711.76
135|2020-08-04|3416.86
135|2020-08-14|5202.62
135|2020-08-08|3011.21
135|2020-08-26|4041.33
135|2020-08-01|2595.69
135|2020-08-10|4972.5
135|2020-08-24|4586.47
135|2020-08-17|4139.69
135|2020-08-29|2424.94
135|2020-09-23|3039.1
135|2020-09-29|2774.43
135|2020-09-12|2730.5
135|2020-09-09|3042.67
135|2020-09-05|2258.44
135|2020-09-22|3221.61
135|2020-09-24|5124
135|2020-09-04|3211.08
135|2020-09-15|3247.39
135|2020-09-01|3763.21
135|2020-09-19|2463.13
135|2020-09-08|2915.84
135|2020-09-18|3701.22
135|2020-09-28|3298.54
135|2020-09-11|5092.48
135|2020-09-03|3406.92
135|2020-09-25|4347.3
135|2020-09-16|3877.11
135|2020-09-07|3301.63
135|2020-09-14|3722.96
135|2020-09-02|3864.51
135|2020-09-17|3660.85
135|2020-09-10|4064.36
135|2020-09-21|3174.55
135|2020-09-26|2965.01
135|2020-09-30|4948.09
135|2020-10-29|3533.37
135|2020-10-03|1659.28
135|2020-10-10|3096.23
135|2020-10-31|2678.23
135|2020-10-07|3536.11
135|2020-10-14|2610.9
135|2020-10-19|2528.43
135|2020-10-24|3397.78
135|2020-10-02|3952.16
135|2020-10-05|3266.95
135|2020-10-22|3546.08
135|2020-10-09|4493.01
135|2020-10-17|2303.37
135|2020-10-30|2799.27
135|2020-10-27|2220.58
135|2020-10-20|2196.35
135|2020-10-28|3283.02
135|2020-10-06|2560.51
135|2020-10-21|1927.26
135|2020-10-15|2682.56
135|2020-10-13|3583.23
135|2020-10-12|2743.62
135|2020-10-01|3166.3
135|2020-10-26|3105.97
135|2020-10-23|4020.59
135|2020-10-16|4107.31
135|2020-10-08|3552.15
135|2020-11-04|3009.41
135|2020-11-10|4633.29
135|2020-11-21|2674.38
135|2020-11-05|3180.97
135|2020-11-20|3652.82
135|2020-11-13|3387.3
135|2020-11-03|3637.01
135|2020-11-17|3691.7
135|2020-11-16|2962.38
135|2020-11-30|3392.42
135|2020-11-23|2757.05
135|2020-11-14|2765.94
135|2020-11-12|4232.84
135|2020-11-19|4618.17
135|2020-11-25|2927.4
135|2020-11-26|4241.99
135|2020-11-06|5180.18
135|2020-11-07|1829.96
135|2020-11-24|3510.68
135|2020-11-09|4268.69
135|2020-11-28|3399.77
135|2020-11-02|2212
135|2020-11-27|4828.47
135|2020-11-18|2758.12
