mag|my_date|netto
039|2019-11-02|4858.55
039|2019-11-16|7528.08
039|2019-11-13|5811.99
039|2019-11-20|5825.66
039|2019-11-09|8097.62
039|2019-11-06|7090.59
039|2019-11-27|6178.93
039|2019-11-12|7873.21
039|2019-11-30|7311.67
039|2019-11-18|7673.64
039|2019-11-28|8725.48
039|2019-11-07|7274.98
039|2019-11-26|7786.1
039|2019-11-15|7588.66
039|2019-11-29|8963.99
039|2019-11-04|6038.31
039|2019-11-22|9180.61
039|2019-11-08|9612.9
039|2019-11-19|7988.89
039|2019-11-21|7409.81
039|2019-11-25|7913.02
039|2019-11-14|6837.94
039|2019-11-23|7055.01
039|2019-11-05|6979.26
039|2019-12-30|9338.58
039|2019-12-09|8312.07
039|2019-12-18|11959.82
039|2019-12-03|8107.69
039|2019-12-19|13139.05
039|2019-12-05|10083.15
039|2019-12-12|9664.2
039|2019-12-21|11292.48
039|2019-12-11|9004.15
039|2019-12-14|8245.84
039|2019-12-23|21427.65
039|2019-12-13|11261.05
039|2019-12-20|14559.83
039|2019-12-02|7319.37
039|2019-12-22|3293
039|2019-12-04|6956.32
039|2019-12-31|6843.68
039|2019-12-16|11594.33
039|2019-12-06|8972.39
039|2019-12-28|5190.17
039|2019-12-10|9069.94
039|2019-12-07|7301.44
039|2019-12-24|10855.71
039|2019-12-17|12278.36
039|2019-12-27|7506.44
039|2020-01-18|8068.12
039|2020-01-03|6534.5
039|2020-01-07|7852.25
039|2020-01-30|7469.77
039|2020-01-08|6172.74
039|2020-01-16|6943.39
039|2020-01-25|5278.38
039|2020-01-27|5506.43
039|2020-01-31|8263.64
039|2020-01-14|6868.38
039|2020-01-23|6202.14
039|2020-01-17|7870.32
039|2020-01-24|7291.91
039|2020-01-10|7972.85
039|2020-01-13|6417.01
039|2020-01-28|5723.52
039|2020-01-02|6642.18
039|2020-01-20|7614.45
039|2020-01-09|6170.43
039|2020-01-22|6119.86
039|2020-01-15|6705.2
039|2020-01-11|8008
039|2020-01-29|5725.4
039|2020-01-21|6196.5
039|2020-01-04|5796.16
039|2020-02-21|7371.63
039|2020-02-18|5509.72
039|2020-02-20|6970.45
039|2020-02-17|7214.79
039|2020-02-24|7599.3
039|2020-02-06|6852.91
039|2020-02-04|7015.76
039|2020-02-28|8672.94
039|2020-02-26|7154.95
039|2020-02-08|7845.58
039|2020-02-22|7418.86
039|2020-02-10|5988.08
039|2020-02-25|5997.25
039|2020-02-13|8314.1
039|2020-02-01|8388.36
039|2020-02-05|6559.02
039|2020-02-19|6533.33
039|2020-02-12|7475.92
039|2020-02-03|6298.26
039|2020-02-14|7707.46
